ID,First Name,Last Name,Birth Year,Birth Season,IsMale,Nationality,IsAlive,MaxHealth,Virtility,Language,DaysLeft,Stature,Managment rating,Combat Rating,InKeep,IsPregnant,Family ID,Spouse,Father,Mother,Fiancee,Salary,InEmployersEntourage,IsPlayersHeir,Location,Army ID,NPCsEmployer
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Char_4000,Odo,de Shrewsbury,1150,0,TRUE,Eng,TRUE,8,3,lang_C2,90,0,4,4,TRUE,FALSE,,,,,,10000,FALSE,FALSE,EAR02,,Char_47
Char_4001,Irad,de Watford,1154,0,TRUE,Eng,TRUE,6,1,lang_C2,90,0,9,3.33,TRUE,FALSE,,,,,,10000,FALSE,FALSE,EBK03,,Char_47
Char_4002,Piers,de High Wycombe,1158,0,TRUE,Eng,TRUE,5,3,lang_C2,90,0,4,5,TRUE,FALSE,,,,,,10000,FALSE,FALSE,EBK04,,Char_47
Char_4003,Jack,de Carlisle,1162,0,TRUE,Eng,TRUE,5,5,lang_C2,90,0,6,5,TRUE,FALSE,,,,,,10000,FALSE,FALSE,ECU02,,Char_47
Char_4004,Mortimer,de Bude,1166,0,TRUE,Eng,TRUE,6,4,lang_C5,90,0,6,4.66,TRUE,FALSE,,,,,,10000,FALSE,FALSE,ECW01,,Char_47
Char_4005,Sean,de Saltash,1151,0,TRUE,Eng,TRUE,5,7,lang_C5,90,0,2,5.66,TRUE,FALSE,,,,,,10000,FALSE,FALSE,ECW02,,Char_47
Char_4006,James,de Meregissey,1155,0,TRUE,Eng,TRUE,7,3,lang_C5,90,0,8,4.33,TRUE,FALSE,,,,,,10000,FALSE,FALSE,ECW03,,Char_47
Char_4007,Herve,de Penzance,1159,0,TRUE,Eng,TRUE,8,1,lang_C5,90,0,5,6,TRUE,FALSE,,,,,,10000,FALSE,FALSE,ECW05,,Char_47
Char_4008,Edgar,de Derby,1163,0,TRUE,Eng,TRUE,7,1,lang_C2,90,0,4,6.66,TRUE,FALSE,,,,,,10000,FALSE,FALSE,EDR02,,Char_47
