skill,skill_1,Command,effStart,battle,0.4,siege,0.4,npcHire,0.2,effEnd
skill,skill_2,Chivalry,effStart,famExpense,0.2,fiefExpense,0.1,fiefLoy,0.1,npcHire,0.1,siege,0.1,effEnd
skill,skill_3,Abrasiveness,effStart,battle,0.15,death,0.05,fiefExpense,-0.05,famExpense,0.05,time,0.05,siege,-0.1,effEnd
skill,skill_4,Accountancy,effStart,time,0.1,fiefExpense,-0.2,famExpense,-0.02,fiefLoy,-0.05,effEnd
skill,skill_5,Stupidity,effStart,battle,-0.4,death,0.05,fiefExpense,0.02,famExpense,0.2,fiefLoy,-0.1,npcHire,-0.1,time,-0.1,siege,-0.4,effEnd
skill,skill_6,Robust,effStart,virility,0.2,npcHire,0.05,fiefLoy,0.05,death,-0.2,effEnd
skill,skill_7,Pious,effStart,virility,-0.2,npcHire,0.01,fiefLoy,0.01,time,-0.1,effEnd
nationality,Oth,Other
nationality,Eng,English
nationality,Fr,French
nationality,Sco,Scottish
baseLanguage,lang_B,Basque
baseLanguage,lang_C,Celtic
baseLanguage,lang_D,Dutch
baseLanguage,lang_E,English
baseLanguage,lang_F,French
baseLanguage,lang_G,German
baseLanguage,lang_H,Hispanic
baseLanguage,lang_I,Italian
language,lang_B1,lang_B,1
language,lang_C1,lang_C,1
language,lang_C2,lang_C,2
language,lang_C3,lang_C,3
language,lang_C4,lang_C,4
language,lang_C5,lang_C,5
language,lang_C6,lang_C,6
language,lang_D1,lang_D,1
language,lang_D2,lang_D,2
language,lang_E1,lang_E,1
language,lang_E2,lang_E,2
language,lang_F1,lang_F,1
language,lang_F2,lang_F,2
language,lang_F3,lang_F,3
language,lang_F4,lang_F,4
language,lang_F5,lang_F,5
language,lang_G1,lang_G,1
language,lang_G2,lang_G,2
language,lang_G4,lang_G,4
language,lang_H1,lang_H,1
language,lang_H2,lang_H,2
language,lang_H3,lang_H,3
language,lang_I2,lang_I,2
language,lang_I4,lang_I,4
language,lang_I5,lang_I,5
language,lang_I7,lang_I,7
terrain,terr_F,Forest,1.5
terrain,terr_H,Hills,1.5
terrain,terr_M,Mountains,15
terrain,terr_MX,Impassable mountains,91
terrain,terr_P,Plains,1
kingdom,E0000,England,3,Eng,Char_47,Char_47
kingdom,S0000,Scotland,3,Sco,Char_40,Char_40
rank,3,6,tiStart,generic,King,lang_F1,Roi,lang_F2,Roi,lang_F3,Roi,lang_F4,Roi,lang_F5,Roi,tiEnd
rank,6,5,tiStart,generic,Prince Bishop,tiEnd
rank,7,5,tiStart,generic,Duc,tiEnd
rank,8,4,tiStart,generic,Dauphine,tiEnd
rank,9,4,tiStart,generic,Prince,tiEnd
rank,11,3,tiStart,generic,Earl,lang_F1,Comte,lang_F2,Comte,lang_F3,Comte,lang_F4,Comte,lang_F5,Comte,tiEnd
rank,12,3,tiStart,generic,Captal,tiEnd
rank,13,2,tiStart,generic,Vicomte,tiEnd
rank,15,2,tiStart,generic,Baron,tiEnd
rank,16,1,tiStart,generic,Seigneur,tiEnd
rank,17,1,tiStart,generic,Lord,lang_F1,Sire,lang_F2,Sire,lang_F3,Sire,lang_F4,Sire,lang_F5,Sire,tiEnd
rank,18,1,tiStart,generic,Vidame,tiEnd
rank,19,1,tiStart,generic,Chatelain,tiEnd
position,100,2,,Eng,tiStart,generic,Keeper of the Privy Seal,tiEnd
position,101,2,,Eng,tiStart,generic,Lord High Steward,tiEnd
position,102,2,,Eng,tiStart,generic,Lord High Chancellor,tiEnd
position,103,2,,Eng,tiStart,generic,Lord High Treasurer,tiEnd
position,104,2,,Eng,tiStart,generic,Lord Chief Justice,tiEnd
position,105,2,,Eng,tiStart,generic,Lord Great Chamberlain,tiEnd
position,106,2,,Eng,tiStart,generic,Lord High Constable of England,tiEnd
position,107,2,,Eng,tiStart,generic,Warden of the Cinque Ports,tiEnd
position,108,2,,Eng,tiStart,generic,Keeper of the Wardrobe,tiEnd
position,109,1,,Eng,tiStart,generic,Controller of the Wardrobe,tiEnd
position,110,1,,Eng,tiStart,generic,Cofferer of the Wardrobe,tiEnd
position,111,2,,Eng,tiStart,generic,Lord High Marshal,tiEnd
position,112,1,,Eng,tiStart,generic,Chancellor of the Exchequer,tiEnd
position,113,1,,Eng,tiStart,generic,Lord Mayor of London,tiEnd
fief,EAR01,Market Drayton,EAR00,15000,9.00,0.00,0,10.00,10.00,76000,152000,57000,76000,5.00,3410000,10.00,76000,152000,57000,76000,4.00,361000,0,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00,5.00,C,lang_C2,terr_P,0,361000,false,false,17,Char_244,Char_244,Char_244,,
fief,EAR02,Shrewsbury,EAR00,20000,6.00,5.00,0,10.00,10.00,100000,200000,75000,100000,7.00,3727000,10.00,100000,200000,75000,100000,15.00,475000,0,475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,7.00,C,lang_C2,terr_P,0,475000,false,false,17,Char_47,Char_47,Char_47,,
fief,EAR03,Oswestry,EAR00,10000,6.00,0.00,0,10.00,10.00,52000,104000,39000,52000,7.00,3322000,10.00,52000,104000,39000,52000,17.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,7.00,C,lang_C2,terr_H,0,247000,false,false,17,Char_255,Char_255,Char_255,,
fief,EAR04,Ludlow,EAR00,15000,9.00,0.00,0,10.00,10.00,76000,152000,57000,76000,6.00,3410000,10.00,76000,152000,57000,76000,13.00,361000,0,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.00,6.00,C,lang_C2,terr_P,0,361000,false,false,15,Char_268,Char_268,Char_268,,
fief,EAR05,Clun,EAR00,10000,7.00,0.00,0,10.00,10.00,52000,104000,39000,52000,5.00,3876000,10.00,52000,104000,39000,52000,17.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,5.00,C,lang_C2,terr_H,0,247000,false,false,17,Char_259,Char_259,Char_259,,
fief,EBK01,Hertford,EBK00,20000,5.00,3.00,0,10.00,10.00,100000,200000,75000,100000,7.00,2639000,10.00,100000,200000,75000,100000,19.00,474000,0,474000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.00,7.00,C,lang_C2,terr_P,0,475000,false,false,17,Char_186,Char_186,Char_186,,
fief,EBK02,Aylesbury,EBK00,12000,8.00,0.00,0,10.00,10.00,60000,120000,45000,60000,5.00,3839000,10.00,60000,120000,45000,60000,10.00,285000,0,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00,5.00,C,lang_C2,terr_P,0,285000,false,false,17,Char_225,Char_225,Char_225,,
fief,EBK03,Watford,EBK00,9000,7.00,0.00,0,0.00,0.00,48000,96000,36000,48000,7.00,4199000,0.00,48000,96000,36000,48000,11.00,228000,0,228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.00,7.00,C,lang_C2,terr_P,0,228000,false,false,15,Char_47,Char_47,Char_47,,
fief,EBK04,High Wycombe,EBK00,15000,8.00,0.00,0,10.00,10.00,76000,152000,57000,76000,6.00,3031000,10.00,76000,152000,57000,76000,8.00,360000,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00,6.00,C,lang_C2,terr_P,0,360000,false,false,17,Char_47,Char_47,Char_47,,
fief,ECG01,Fotheringay,ECG00,10000,6.00,0.00,0,10.00,10.00,52000,104000,39000,52000,7.00,3322000,10.00,52000,104000,39000,52000,19.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.00,7.00,C,lang_C2,terr_P,0,247000,false,false,17,Char_47,Char_47,Char_47,,
fief,ECG02,Cambridge,ECG00,20000,6.00,3.00,0,10.00,10.00,100000,200000,75000,100000,7.00,2927000,10.00,100000,200000,75000,100000,8.00,475000,0,475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00,7.00,C,lang_C2,terr_P,0,475000,false,false,17,Char_18,Char_18,Char_18,,
fief,ECG03,Huntington,ECG00,20000,8.00,2.00,0,10.00,10.00,100000,200000,75000,100000,6.00,3103000,10.00,100000,200000,75000,100000,10.00,474000,0,474000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00,6.00,C,lang_C2,terr_P,0,475000,false,false,15,Char_47,Char_47,Char_47,,
